state_code,state,city,latitude,longitude
IN.16,Maharashtra,Bālāpur,20.66612,76.77386
IN.21,Odisha,Balāngīr,20.70419,83.49029
IN.21,Odisha,Bālāgunda,22.1,85.36667
IN.35,Madhya Pradesh,Bālāghāt,21.8156,80.18845
IN.23,Punjab,Bālāchor,31.06062,76.30166
IN.35,Madhya Pradesh,Buxwaha,24.25106,79.28618
IN.28,West Bengal,Bakreswar,23.8832,87.37265
IN.23,Punjab,Bakloh,32.47939,75.91874
IN.34,Bihar,Bakhtiyārpur,25.46179,85.53179
IN.34,Bihar,Bakhri,25.59889,86.26074
IN.36,Uttar Pradesh,Bakewar,26.66226,79.17625
IN.24,Rajasthan,Bakāni,24.28624,76.23709
IN.36,Uttar Pradesh,Bājna,27.89793,77.67836
IN.28,West Bengal,Budge Budge,22.48275,88.18176
IN.34,Bihar,Baisi,25.86302,87.74487
IN.24,Rajasthan,Viratnagar,27.43538,76.18297
IN.34,Bihar,Bairāgnia,26.74063,85.27323
IN.19,Karnataka,Byndoor,13.86667,74.63333
IN.19,Karnataka,Bail-Hongal,15.8137,74.85895
IN.37,Chhattisgarh,Baikunthpur,23.26206,82.56051
IN.35,Madhya Pradesh,Baikunthpur,24.72768,81.40975
IN.35,Madhya Pradesh,Baihar,22.10133,80.54967
IN.28,West Bengal,Baidyabāti,22.78498,88.32586
IN.36,Uttar Pradesh,Bahua,25.83942,80.62255
IN.36,Uttar Pradesh,Bahsūma,29.20063,77.97221
IN.36,Uttar Pradesh,Bahraigh,27.57429,81.59474
IN.36,Uttar Pradesh,Bahjoi,28.39502,78.62659
IN.36,Uttar Pradesh,Baheri,28.77416,79.4974
IN.28,West Bengal,Baharampur,24.10473,88.25155
IN.10,Haryana,Bahadurgarh,28.69287,76.93555
IN.34,Bihar,Bahādurganj,26.26172,87.82443
IN.36,Uttar Pradesh,Bāh,26.86912,78.59385
IN.28,West Bengal,Bagulā,23.33664,88.64109
IN.38,Jharkhand,Bagra,23.73333,86.31667
IN.35,Madhya Pradesh,Bāgli,22.64124,76.34877
